"","Admin1","Name","Travel_Time","Longitude","Latitude"
"1","Ituri","Mambasa Hospital",0,29.0353,1.3651
"2","Nord Kivu","Beni Hospital",0,29.4653,0.4939
"3","Nord Kivu","Kalunguta Hospital",0,29.444,0.4881
"4","Nord Kivu","Oicha Hospital",0,29.5027,0.7028
"5","Nord Kivu","Vuhovi Hospital",0.0368580962293347,29.4062,0.1426
"6","Nord Kivu","Mabalako Hospital",0.044702053962653,29.314,0.6064
"7","Nord Kivu","Katwa Hospital",0.0588387519374799,29.3706,0.1164
"8","Nord Kivu","Goma Hospital",0.0714131487723843,29.1906,-1.663
"9","Nord Kivu","Karisimbi Hospital",0.0989533556729075,29.2357,-1.6754
"10","Nord Kivu","Musienene Hospital",0.10438226766296,29.2478,0.017
"11","Sud Kivu","Mwenga Hospital",0.107849521102076,28.4431,-3.0238
"12","Nord Kivu","Butembo Hospital",0.170157993885257,29.2227,0.118
"13","Nord Kivu","Masereka Hospital",0.199297323097705,29.3143,-0.1392
"14","Nord Kivu","Kyondo Hospital",0.22351913495563,29.3991,4e-04
"15","Nord Kivu","Kayna Hospital",0.286991658069865,29.166,-0.607
"16","Nord Kivu","Mutwanga Hospital",0.302586233636104,29.7427,0.3383
"17","Nord Kivu","Lubero Hospital",0.3322909008612,29.2301,-0.1537
"18","Nord Kivu","Kirotshe Hospital",0.455955551624691,29.031,-1.6123
"19","Sud Kivu","Kakwende Centre Hospital",0.693427964432176,28.6864,-2.8184
"20","Sud Kivu","Minova Hospital",0.707970301468954,29.0141,-1.7164
